title,url,text,category,scraped_at
,https://www.bbc.com/ws/languages,"BBC News is the world’s most trusted international news organisation with a weekly audience of 418 million people. BBC World Service - in 43 languages with journalists in 64 countries - reaches 313 million people every week with its independent, impartial and accurate journalism.
The flagship story strand from the BBC World Service focusing on finding and sharing powerful, original and compelling stories you’ll want to talk about, across the world
BBC World Service English brings you news & views from the BBC's international radio station 24 hours a day.
Award-winning investigations - revealing secrets, rooting out injustice, and exposing crime, corruption, and abuse. The biggest stories from BBC correspondents all over the world.
© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",not crime-related,
,https://www.bbc.com/somali/articles/clyg773de5ro,"Wiil yar ayaa noqday canugii ugu horeeyay ee ku dhasha Ingiriiska isagoo isticmaalaya ilmo galeen ay ku deeqday haweeneey dhimatay.
Grace Bell, oo ku jirta da'da 30-meeyada oo ku dhalatay ilmo galeen la'aan, ayaa sheegtay in wiilkeeda yar ee la yiraahdo Hugo, oo hadda jira 10 toddobaad jira, uu ""mucjiso"".
Bell iyo seygeeda Steve Powellt, ayaa aad u amaanay "" naxariista iyo wanaaga"" deeqbixiyaha minka iyo qoyskeedaba iyaga oo xusay ""hadiyaddooda cajiibka ah"" ee ay ka tagtay, iyagoo sidoo kale u mahadceliyey kooxaha caafimaadka ee Oxford iyo London oo taageero wayn iyana fidiyay.
Dhakhaatiirta qalliinka ku lugta leh ayaa sheegay in dhalashad ilmahaan ahayd ""dhacdo aad u badashay sidii wax ahaan jireen"", taas oo rajo gelin karta dumar badan oo kale oo qaba dhibaato ilmagaleenka la xiriira.
Hugo waxa uu dhashay wax yar ka hor Kirismaskii ​​2025 kii, isaga oo miisaankiisu ahaa 7lbs, waxa uuna ku dhashay Queen Charlotte's and Chelsea Hospital oo ku yaalla galbeedka London.
Bell waa mid ka mid ah ilaa 5,000 oo haween ah oo ku nool UK ay saameeysay xaalad lagu magacaabo MRKH Syndrome, taas oo macnaheedu yahay inay ku dhalatay ilmo galeen la'aan iyo caado la'aan balse ay leedahay ugxan caadi ah.
Markii ay jirtay 16 jir, ayaa loo sheegay in aanay awoodin in ay qaado uur.
Si ay ilmo u dhalaan, ikhtiyaarka kaliya ee lammaanuhu haysteen wuxuu ahaa in ay rajeynayaan in ilmo-galeenka lagu tallaalo gabadha ama ay maraan dariiqa qalliinka.
Markii la soo wacay loona sheegay in ilmo ilmo la hibeeyay uu diyaar yahay in lagu tallaalana ay suurtagal tahay, Bell waxay sheegtay in ay ""aad u naxday"" dhanka kaleba ay ""aad u faraxday"".
Laakiin sidoo kale waxay si aad ah uga warqabtay qoyska ku deeqay ""hadiyadda cajiibka ah"" ee u sahlaysa inay qaado uur oo ay dhasho ilmo.
""Waxaan ka fekeraa ku deeqbixiyahayga iyo qoyskeeda maalin kasta waxaan ugu duceeyaa inay ku nabad galaan halka ay joogaan iyaga oo maanka ku haya in gabadhooda ay i siisay hadiyadda ugu weyn: hadiyadda nolosha,"" Bell ayaa tiri sidaas.
""Qayb iyada ka mid ah ayaa weligeed sii jiri doonta.""
Qalliinka ilmo-galeenka lagula tallaalay Bell wuxuu qaatay10 saacadood wuxuuna ka dhacay Isbitaalka Churchill ee Oxford bishii Juun 2024, ka hor intaysan lammaanuhu helin daawaynta IVF bilo ka dib - taa oo ay ku xigtay wareejinta uurjiifka oo lagu sameeyay xarunta The Lister Fertility Clinic ee ku taalla magaalada London.
Markii uu dhashay Hugo, Bell waxay tiri: ""Waxay ahayd mucjiso.
""Waxaan xasuustaa inaan subaxdii soo toosay oo aan arkay wajigiisa yar, isaga oo afka ku haya cinjirka yar ee ilmuhu nuugaan, waxaana dareemayay inaan riyoonayo oo kale.
Tallaalista ilmo galeenka ee Bell ayaa ah mid ka mid ah 10 mashruuc oo noocan ah oo qayb ka ah tijaabo cilmi-baaris caafimaad ee ka dhacaysa UK. Saddex ayaa hore loo fuliyay, laakiin tani waa ilmihii ugu horreeyay ee dhasha.
Horraantii 2025, Ilmo yar oo lagu magacaabo Amy aaa ku dhashay ilmo-galeen lagu tallaalay hooyadii balse deeqbixiyuhu uu noolaa. Hooyada dhashay walaasheed ka wayn oo hore u lahayd laba caruur ah ayaa ugu deeqday minkeeda.
Shan kale oo ilmo-galeen la tallaalayo ah oo laga keenay qaraabo isku dhow ayaa la qorsheeyay in ay ka dhacdo Ingiriiska
Amy waxay ku dhalatay isla cusbitaalka London ee ay ku dhashay wiilkeeda Hugo. Kooxda caafimaadka ee ka danbeysay labada dhalasho waxay soo ka shaqaynayeen dhacdado sanado badan.
La-taliyaha dhakhtar haweenka ah oo lagu magacaabo Prof Richard Smith, oo ka tirsan Imperial College Healthcare NHS Trust, ayaa bilaabay cilmi-baadrsta tallaalidda ilmo-galeenka in ka badan 25 sano ka hor wuxuuna goobjoog ka ahaa dhalashadii Hugo. Waxa uu sheegay in ""koox dad ah"" ay ka qaybqaateen hawsha - laga bilaabo qaliinka tallaalka ilaa wareejinta uurjiifka iyo dhalmada
Warbixinada qotada dheer iyo wararka BBC Somali oo toos kuugu imanaaya WhatsApp.
In ka badan 100 qalliin oo ilmo galeenka la isku tallaalo ah ayaa laga sameeyay adduunka oo dhan iyadoo in ka badan 70 carruur ah oo caafimaad qaba ay u dhasheen.
Ku-deeqidda ilmo-galeenka si loogu tallaalo ma aha sida ku-deeqidda xubnaha kale, sida kelyaha ama wadnaha, sida kaliya ee lagu oggolaan karo ayaa ah in codsi gaar ah oo loo diro qoysaska deeq-bixiyaasha horey u ogolaaday inay ku deeqaan xubnaha jirkooda.
Ingiriiska, ilaa aad go'aansato in aad cadayso inaadan ku deeqin xubnahaaga, waxaa loo fahmayaa inaad raali ka tahay in xubnahaaga la isticmaalo marka aad dhimato.
Waalidiinta deeqda bixiyaha , oo raba in aan magacyadooda la sheegin, ayaa sheegay inay dareemeen ""wanaag wayn"" oo ay u hayaan dhaxalka ay ka tagtay gabadhooda.
Waxa ay ku deeqday shan xubnood oo kale kuwaas oo lagu beeray afar qof.
""Ku-deeqidda xubnaha, waxay siisay qoysaska kale hadiyadda qaaliga ah ee waqtiga, rajo, bogsiin iyo nolol hadda, ah"" ayay qoyskeeda yiraahdeen.
© 2026 BBC. BBC masuul kama ahan macluumadka bogagga kale ee dibadda. Akhri xogta ku saabsan sida aan u abaarno bogagga dibadda.",not crime-related,
,https://www.bbc.com/somali/articles/c93j1q4jk8po,"Xigashada Sawirka, Dr. Sa'id Ahimad
""Dhiigedu aad ayuu u hooseeyay, way miyir doorsoomi rabtay,"" ayuu yiri Siciid Axmed.
Baraha bulshada ayaa aad loogu amaanayaa dhaqtar haween oo ku deeqay dhiig si uu u badbaadiyo haweeney xaaladeeda caafimaad ay liidato ka dib markii dhiig bax xoogan uu ku dhacay.
Dhaqtarkaan oo lagu magacaabo Saciid Ahmed, Madaxa Caafimaadka ee Isbitaalka Guud ee Kamisee oo ku yaalla dalka Itoobiya.
""Hooyadaan 32 jirka ah ayaa timid xaruntayada abbaare 4:00 subaxnimo. Markii ay timid, waxay bilowday matag,"" ayuu yiri dhaqtarku.
Kadib markii dhakhaatiirta isbitaalka guud ee Kamisees ay siiyeen haweeneyda uurka leh antibiyootig, si nabad ah ayay ku umushay, waxaaba ay dhashay gabar yar.
Hase yeeshee, markii ay dhakhaatiirtu ka saareen mandheerta, waxay bilowday dhiig bax aan kala joogsi lahayn.
""Dhammaan dhakhaatiirta, oo uu ku jiro dhakhtarka takhasuskaan leh, waxay daba socdeen sababta dhiiggu uu u joogsan waayay,"" ayuu yiri, isagoo raaciyay in dhiig-baxa joogtada ah ay ogaadeen in uu sababay dillaac ku yimaadda ilmo-galeenka xilligii dhalmada.
Howlwadeenada caafimaadka ee isbitaalka ayaa siiyay haweeneyda daawooyin lagu joojinayo dhiiga, waxaana ay qaadeen tillaabooyin kala duwan balse dhiiga hooyada ayaa joogsan waayey.
""Heerka dhiigaageedu aad buu u hooseeyay. Waxay ku hdawayd in ay miyir doorsanto"" ayuu yiri Saciid isaga oo sheegay in hooyadan lagu waday in loo gudbiyo magaalada Dase ee dalka Itoobiya, balse waqtigu u saamixi waayay.
""Cisbitaalka Dasee Referral Hospital waxa uu u jiraa 70-75 KM, kooxda khubarada ah waxay go'aan ku gaareen in aanay suurtogal ahayn in loo diro, isla markaana si degdeg ah qaliin loogu sameeyo."" Ayuu hadalkiisa raaciyay.
Xirfadlayaasha caafimaadka ee cusbitaalka, oo helay ogolaanshaha qoyska si ay u fuliyaan qaliinka, ayaa la kulmay caqabad kale.
Xigashada Sawirka, Dr. Sa'id Ahimad
Warbixinada qotada dheer iyo wararka BBC Somali oo toos kuugu imanaaya WhatsApp.
Dhiig bax ku yimid darteed, waxay u baahatay hooyadaan dhiig gaaraya 1.3 ilaa 2 liitar si qaliin loogu sameeyo.
""Waxaan ka codsanay dhammaan hay'adaha noo dhow inay na siiyaan dhiigga nooceeda ah, balse waa la waayay wax dhiig ah, dwaanu harjadnay"".
""Gabadha umushay iyo qoyskeedu isku dhiig ma ahayn. Sidoo kale xaalad dhiig looga qaado karo xitaa jirkoodu kuma jirin.
Sidaas daraadeed dhaqtar Saciid ayaa go'aansaday in uu ku deeqo dhiigiisa maadaama ay isku dhiig ahaayeen gabadha.
""Nooca dhiigaygu wuxuu la mid ahaa kan hooyada, nooca dhiigayagu waa O+, ma haysan doorasho aan ka ahayn inaan dhiigayga si toos ah ugu deeqo ka dib markaan tixgelinno faa'iidooyinka iyo dhibaatooyinka,"" ayuu yiri.
Dhaqtarku waxa uu sheegay in baaritaanno ay ka mid yihiin HIV, Cagaarshowga B iyo C, waraabowga iyo baarista dhiigga guud la sameeyey ka hor inta aanay dhiiggiisa ku deeqin si degdeg ah.
Si kastaba ha ahaatee, dhiigii lagu deeqay kuma filnaan oo mid ka mid ah shaqaalaha qaybta shaybaarka ee isbitaalka oo lagu magacaabo Mahammad Cabdu iyo laba qof oo kale ayaa ku deeqay dhiig kale, waxaana la sameeyay tijaabo.
""Inkasta oo ay ku badbaadday dhiig ku deeqid iyo qalliin, haddana xaaladeeda ma fiicnayn, waxaana ula cararnay qaybta daryeelka degdegga ah (ICU),"" ayuu yiri.
Kadib saacado lagu hayay qaybta daryeelka degdega ah, caafimaadka hooyada dhashay ayaa bilaabay inay soo hagaago.
Maalin ka dib, waxaa laga saaray qeybta daryeelka degdega ah waxaana la dhigay qeybta hooyada. Isla markiiba way bogsatay oo waxay aaday gurigeeda iyada iyo ilmaheeda, sida uu sheegay dhaqtarku.
Dhaqtarka oo wax laga waydiiyay sida uu u arko badbaadinta nolosha hooyada , waxa uu yiri, ""Aqoonyahan caafimaad ahaan, arrimahan oo kale maaha kuwo cusub, marar badan ayay dhacdaa.
Sidoo kale waxa uu sheegay in go'aankan uu qaatay uu yahay mid tusaale u noqonaya dadka kale ee ku jira xaaladaha adag.
Hooyada ayaa haatan ku jirta xaalad wanaagsan.
""Aad bay u qurux badan tahay marka ay soo toosto daweynta ka dib oo ay daawato ilmaheeda oo ku jira gacmaheeda. Shaqaalaha isbitaalkuna ay ku wada faraxsan yihiin,"" ayuu yiri.
© 2026 BBC. BBC masuul kama ahan macluumadka bogagga kale ee dibadda. Akhri xogta ku saabsan sida aan u abaarno bogagga dibadda.",crime-related,
,https://www.bbc.com/somali/hayadeed-37098011,"Gelista iyo isticmaalka 'bbc.co.uk' ee UK gudaheeda iyo dibeddaba waxaa bixiya BBC (Dadka dibedda ka isticmaala waxaa laga yaabaa inay arkaan xayeysiin bogagga qaarkood oo ay sameysay qeybta ganacsiga ee BBC, BBC Worldwide Limited (""BBC"") shuruudaha hoos soo socda:
1. Haddii aad isticmaaleyso bbc.co.uk waxaad oggolaatay shuruudahan, kuwaasi oo markiiba dhaqan gelaya isla marka aad isticmaasho bbc.co.uk. Haddii aadan oggoleyn dhamaan shuruudaha fadlan ha gelin, hana isticmaalin, waxna ha ku soo biirin bbc.co.uk.
2. BBC waxay beddeli kartaa shuruudahan xilli kadib, sidaa darteed waa inaad iska hubisaa shuruudaha si joogto ah. Isticmaalkaada sii socda ee bbc.co.uk waxa uu ka dhigan yahay inaad aqbashay shuruudaha wax laga beddelay ama lagu kordhiyay. Haddii aadan oggoleyn isbeddelkaasi, waa inaad joojisaa isticmaalka website-ka. Haddii ay jiraan wax iska hor imanaya oo ah shuruudahan iyo kuwo gaar ah oo deegaanka ah oo ka muuqanaya meel kale oo bbc.co.uk ah (oo ay ku jirto sharci meel u gaar ah) markaa waxa jiraya midka danbe.
Wixii faahfaahin dheeraad ah oo ku saabsan isticmaalka bbc.co.uk, hantida maskaxeed, waxa lagu biiriyo BBC, shuruucda bulshada, iska fogeynta iyo xadeynta waajibaadka, isticmaalka guud ee macluumaadka, waxaad gashaa www.bbc.co.uk/terms (oo Af-ingiriis ah)
© 2026 BBC. BBC masuul kama ahan macluumadka bogagga kale ee dibadda. Akhri xogta ku saabsan sida aan u abaarno bogagga dibadda.",crime-related,
,https://www.bbc.com/somali/articles/c4g40ddvqzro,"Xigashada Sawirka, Getty Images
Xirfadleyda kubbadda cagta iyo xiddigaha kubbadda cagta Maraykanka waxa ay halis badan ugu jiraan inuu ku dhaco xanuunka waalida in ka badan oo ka sarreysa xirfadleyaasha kale. Haddaba maxaa la sameyn karaa si loo caawiyo?
Marka aad tahay ciyaaryahan kubbadda cagta ah, ma jiro wax lala barbardhigi kara farxadda aad dareemeyso markaad hawada u booddo kubbad si xawaare sare kuugu soo socota, madaxa ku dhufato shabaqa taabato, una dhaliso gool kooxdaada.
Si kastaba ha ahaatee, baaritaanno soo baxaya ayaa muujinaya in kubadda oo si joogto ah madax lagu dhufto ay sababi karto dhaawac maskaxeed oo soo baxa tobannaan sano kadib, iyaga oo u eg sida Alzheimers, Parkinson, iyo cudurrada neerfaha ku dhaca.
Halista ay leeyihiin ciyaaraha la isdhex-galo sida ciyaarta kubadda cagta waxa ahayd mid la ogyahay ku dhawaad boqol sano.
Sanadkii 1928, dhakhtar Maraykan ah oo baara xanuunnada, oo la oran jiray Harrison Martland ayaa daabacay warbixin cilmiyeed uu ku sheegay in ""muddo dheer taageerayaasha iyo qabanqaabiyeyaasha feerka ay ogaayeen xaalad dhif ah oo ku dhacda ciyaartoyda feeryahannada ah, taas oo dadka feerka ciyaaraha ay yaqaanaan ""feer-yahanka liicaya'.""
Calaamadaha ugu waaweyn ee qofka isku arki karo waxaa kamid ah wareer iyo in uu jareeyo (gariiro), inta badanna waxaa la kulma feeryahannada inta badan madaxa laga feero.
Mararka qaar, xaaladdaas ""feer-yahanka liicaya"" waxay isku beddeshay 'asaasaq', taas oo markii dambe loo aqoonsaday ""asaasaqa ka dhasha jugta maskaxda,"" waana nooc kamid ah xanuunnada ku dhaca feeryahannada la kulma jugta madaxa.
Bilowgii waxaa la moodayay in dhibaatadu ku kooban tahay feerka oo keliya, balse waxa arrintu isbeddeshay tobanaan sano kadib.
Xigashada Sawirka, Getty Images
Warbixinada qotada dheer iyo wararka BBC Somali oo toos kuugu imanaaya WhatsApp.
Sanadkii 2002, ciyaaryahankii West Bromwich Albion iyo xulka Ingiriiska Jeff Astall ayaa dhintay isagoo 59 jir ah, kadib waxaa la ogaaday inuu qabay xanuunka asaasaqa oo bilow ah.
Dalka Maraykanka, ciyaaryahankii kubbadda cagta Maraykanka Mike Webster ayaa si lama filaan ah u dhintay isagoo 50 jir ah, kadib markii uu la ildarnaa ilaawsho.
Labadaas qof baarintaannadii maskaxda ee lagu sameeyey ayaa muujiyay in ay u dhinteen cudur loo yaqaan ""encephalopathy"", xanuunnada ku dhaca maskaxda, inkasta oo hadda loo yaqaano burada maskaxda.
Willie Stewart, oo ah dhakhtar ku takhasusay cudurrada maskaxda kana tirsan Jaamacadda Glasgow ee Boqortooyada Ingiriiska, ayaa yiri:
""Encephalopathy-da dhaawaca joogtada ah waa nooc gaar ah oo cudur maskaxeed oo sii xumaanaya, sababtoo ah waxaan ku aragnaa oo keliya dadka hore ula kulmay dhaawacyo ama jugo madaxa ah.""
Xaaladdan waxaa lagu ogaadaa marka mikroskoob lagu eego maskaxda, waana marka maskaxda lagu arko in ay ururineyso boroyiinka, xaaladdaas oo la dhaho tau.
Stewart wuxuu sheegay: ""Habka ugu fudud ee lagu ogaan karo in qof laga shakiyo cudurkan waa in la weydiiyo: 'kubbadda cagta miyaad ciyaartaa, ama ciyaarta 'rugby'?' Sababtoo ah haddii aad tahay ciyaaryahan kubbadda cagta ciyaara oo qaba asaasaqa ama isku dhexyaaca, waxaa keeni kara jugta kaa soo gaartay"".
Tan iyo 2008, Ann McKee, oo ah bare ku takhasusay neerfaha kana tirsan Jaamacadda Boston, ayaa ciyaartoydii hore ka codsaneesay in ay ka qayb qaataan cilmi-baaris lagu ogaanayo laguna daweynayo cudurkan.
Sanadkii 2023, McKee iyo asxaabteeda waxay baareen 376 ciyaaryahan hore, waxayna heleen in boqolkiiba 91.7 ay qabaan xanuun dhanka masxkaxda ah.
Kooxdan waxaa ka mid ahaa Rick Arrington oo ka tirsanaa Philadelphia Eagles intii u dhexeysay 1970 ilaa 1973, iyo Ed Lothamer oo ka tirsanaa Kansas City Chiefs una ciyaaray Super Bowl-kii ugu horreeyay.
Waxaa la rumeysan yahay in cudurkan uu ku yar yahay bulshada inteeda kale, inuu ku dhacana ay haslis ugu jiraan wax ka yar boqolkiiba hal.
McKee waxay sidoo kale cudurkan ka heshay ciyaartoy hore oo ciyaari jiray ciyaaraha baseball-ka, baaskiika , iyo ciyaarta barafka, dhammaan kiisaskaas, waxa ka dhexeeyay jug soo noqnoqotay oo madaxa ka gaartay.
Daraasad lagu sameeyay 2019 oo ku saabsan saameynta kubbadda cagta ee caafimaadka nolosha oo dhan, Stewart iyo kooxdiisu waxay baareen diiwaannada caafimaad ee ku dhowaad 8,000 ciyaaryahan hore oo Scottish ah, iyagoo la barbardhigay 23,000 qof oo ka tirsan qeybaha kale ee bulshada
Stewart waxa uu dhahay ""Waxaan isbarbardhignay ciyaartoyda kubbadda cagta iyo dad la mid ah oo isla sannadkii dhashay kuna noolaa deegaanno isku mid ah.""
Daraasadda ayaa muujisay in ciyaartoydii hore ay shan jeer uga halis badan yihiin Alzheimers, afar jeer uga halis badan yihiin cudurka neerfaha, isla markaana laba jeer uga halis badan yihiin masxkaxda, marka loo eego dadka kale ee isku da'da yihiin.
Xigashada Sawirka, Getty Images
Stewart waxa uu sheegay in halistu badan tahay marka qofka uu mar kasta uu kubadda ku tuuro/herdiyo madaxa ama feer looga dhufto iwm.
Inkasta oo cudurkan badanaa la ogaado kadib marka uu qofka dhinto, hadana cilmi-baaris lagu sameeyay ciyaartoy da'yar ah ayaa muujisay calaamado lagu fahmi karo dhaawac dhanka maskaxda ah.
Michael Lipton, oo ah bare ku takhasusay sawirrada raajada caafimaadka ayaa sheegay in madaxa kubbadda lagu dhufto uu keeno in maskaxda deg deg dhaqdhaqaaqdo, taas oo kala jiidaysa neerfaha, waxa ay saameeneysaa fahmka maskaxda. Maskaxdu waa mid jilicsan, marka jug degdeg ah ku dhacdo, deg deg ayey u wareegtaa oo ay u qalloocataa, taas oo culays saaraysa neerfayaasha.
Yareynta kubbadda lagu dhufto madaxa, gaar ahaan tababarrada, iyo horumarinta qalabka badbaadada ayaa ka mid ah xalalka la soo jeediyay.
Xigashada Sawirka, Getty Images
Maskaxda bini adaamka waxa ay ka kooban tahay xargo aad u dhuu-dhuuban, kuwaas oo haya shaqada guud ee maskaxda iyo neerfaha. sida uu sheegayo Dr. Lipyon. fiilooyinkaas waa kuwo aad u jilicsan oo haddii ay kulmaan jug ama darbo deg deg ah oo xogaan waxa ay noqon karaan kuwo shaqadooda wareerto ama ay maskaxdu dib ugu boodo gudaha qolofta madaxa, taas oo kala jiidda fiilooyinka neerfaha.
Lipton wuxuu yiri: ""Haddii aad ka fikirto madaxa kubbadda lagu dhufto, saameynta ku dhacda madaxa waa mid khafiif ah ma keento jab lafta madaxa ah, dhiig-bax maskaxeed, ama dhaawac si cad loo arko laakiin waxa ay awood u leedahay in xoog ay gudaha ugu gudubto ayna wax yeeleyso maskaxda.""
Ciyaartoyda sida joogtada ah madaxa looga dhufta kubbadda, gaar ahaan kuwa sheegay inay ku dhacdo arrintaan in ka badan 1,000 jeer sanadkii, waxay la kulmaan dhaawac aad uga weyn oo soo gaara maskaxda qeybta jilicsan.
Xigashada Sawirka, Getty Images
© 2026 BBC. BBC masuul kama ahan macluumadka bogagga kale ee dibadda. Akhri xogta ku saabsan sida aan u abaarno bogagga dibadda.",crime-related,
